Ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8.316765884,214.3733941,22018.41744,8.059332377,356.8861356,363.2665162,18.4365245,100.3416744,4.628770537,0
9.092223456,181.1015092,17978.98634,6.546599974,310.1357375,398.4108134,11.55827944,31.99799273,4.075075425,0
5.584086638,188.3133238,28748.68774,7.544868789,326.6783629,280.4679159,8.39973464,54.91786184,2.559708228,0
10.22386216,248.0717353,28749.71654,7.513408466,393.6633955,283.6516335,13.78969532,84.60355617,2.672988737,0
8.635848719,203.3615226,13672.09176,4.563008686,303.3097712,474.6076449,12.3638167,62.79830896,4.401424715,0
5.400301781,140.7390623,17266.59342,10.05685248,328.3582407,472.8740733,11.25638117,56.93190645,4.82478639,0
6.514415093,198.7673513,21218.70287,8.67093692,323.596349,413.2904501,14.89999957,79.84784281,5.200885077,0
3.445061864,207.9262602,33424.76868,8.782147481,384.0070058,441.7858757,13.80590221,30.2845972,4.184396969,0
9.267187531,198.6143947,24683.72357,6.110612421,328.0775332,396.8769491,16.47196935,30.38331457,4.324004646,0
8.520806573,238.3351125,28779.65001,8.282808465,381.6493229,481.3188027,6.016336609,39.09117136,3.94060453,0
4.999413811,190.2870501,24323.8659,7.230164127,324.8930378,405.330482,8.236557503,99.42738492,4.460683932,0
3.906078355,233.402835,32144.79993,6.994839617,348.3594482,269.4490512,9.6541256,63.74306384,3.902879712,0
6.391353624,213.0178297,20965.47831,5.375559892,327.6505425,369.3381209,13.75810517,17.91572257,3.923749169,0
7.261550522,179.8897882,24964.7777,5.837086493,349.2692713,501.1827807,17.28771328,50.99300645,3.636364183,0
7.160467231,183.08931,6743.346066,3.803036424,277.5990986,428.0363444,9.79962469,90.03537367,3.884891044,0
5.704764776,116.2993299,33223.58153,7.05050316,297.0781535,504.378681,9.001820488,48.14703125,4.157533407,0
6.217273135,130.9444639,19460.38282,7.092462955,300.131272,556.65371,14.08360835,57.89707471,5.325833446,0
3.514545529,158.7320758,23029.66361,6.821679099,286.5228468,307.379142,9.712231911,79.85092857,3.762615331,0
3.722500486,163.6397469,37962.16799,6.684570274,326.6940179,467.5629729,14.56726886,50.5779791,3.662837732,0
6.455004797,176.6839728,24468.04839,5.756930039,314.7995983,477.5813462,16.24550434,57.72972383,2.293431406,0
7.316804754,217.522862,31903.39981,9.865047503,376.9379723,425.9134002,8.992754272,69.50921982,3.50837265,0
7.408985467,204.9617498,9566.12227,6.505923139,311.4526625,504.1459941,11.53214401,81.10693773,3.772420928,0
5.976769618,258.952732,27267.98186,7.648599331,383.6571521,514.1189201,12.25679025,82.46979843,2.994671096,0
6.395359132,133.8342291,23827.27502,5.127746861,266.9084283,573.4002951,9.833874585,95.02660928,4.191217515,0
6.20964226,195.4177209,13116.70771,7.879347671,323.0987,417.241656,7.507662315,70.54738691,3.612519615,0
6.762832522,232.0751766,27159.38435,7.884990658,350.4452927,465.4137746,13.86396488,64.81225738,4.916579161,0
9.918717064,199.1812511,21470.27831,6.79984141,329.178429,430.5077069,15.96604294,59.29227327,3.385508444,0
10.15544017,300.2924758,12652.36298,6.655126363,398.6477857,487.459131,9.347633986,67.91978869,5.00246726,0
8.721726711,206.3696824,28608.05208,6.325442404,377.4045382,506.9383527,13.55375101,42.38148394,2.555026904,0
9.02678772,253.2170742,27965.07215,6.588374366,373.5532353,588.3196505,16.14573205,59.12445085,2.019042018,0
6.953371603,203.1465468,11609.10905,5.495737655,304.2831932,551.1433372,9.387781276,55.95800559,3.651865808,0
6.140877557,197.8760897,26687.87448,7.587196418,329.2318529,548.0727613,15.83633021,41.26364788,5.359460295,0
7.077874007,220.6705396,23873.37821,6.181839616,341.9872341,333.0507859,10.66179894,90.29777033,4.764508265,0
5.488314309,135.8023617,21485.1532,8.187415791,280.6032867,441.3311375,14.86026268,88.28734556,5.066786272,0
7.205559175,120.3276153,24627.86756,6.202469332,289.7686966,418.4332899,13.64314709,63.73373237,3.710053126,0
9.177869866,163.2748283,20868.33122,7.726040434,320.4214322,426.9943932,10.2142746,62.43092616,3.108769988,0
4.270716195,166.8377085,24405.25053,7.391510138,297.2067392,349.5189104,13.47852645,54.47483954,3.763905903,0
7.875895135,226.2847878,12710.24945,7.303126583,346.4032581,445.3741474,6.063461913,63.12804403,4.238589203,0
7.725332908,252.2654912,36477.73811,8.386761008,426.5435898,339.4113267,17.48584425,60.48388466,3.724836704,0
